query	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
ZymoMock_517	Staphylococcus_aureus	99.299	428	3	0	1	428	794	367	0	774
ZymoMock_1663	Enterococcus_faecalis	98.718	468	6	0	2	469	821	354	0	832
ZymoMock_1846	Staphylococcus_aureus	99.555	449	2	0	1	449	794	346	0	819
ZymoMock_1899	Lactobacillus_fermentum	97.203	429	12	0	1	429	812	384	0	726
ZymoMock_2673	Bacillus_subtilis	99.07	430	4	0	1	430	794	365	0	773
ZymoMock_2762	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_2816	Staphylococcus_aureus	98.834	429	5	0	1	429	794	366	0	765
ZymoMock_3340	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_3623	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_4315	Enterococcus_faecalis	98.834	429	5	0	1	429	802	374	0	765
ZymoMock_4956	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_4974	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_6553	Bacillus_subtilis	99.07	430	4	0	1	430	794	365	0	773
ZymoMock_7009	Staphylococcus_aureus	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_7183	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_8181	Enterococcus_faecalis	99.299	428	3	0	1	428	802	375	0	774
ZymoMock_8941	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_9022	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_9210	Listeria_monocytogenes	99.332	449	2	1	1	448	794	346	0	811
ZymoMock_9231	Enterococcus_faecalis	99.068	429	4	0	1	429	802	374	0	771
ZymoMock_9278	Bacillus_subtilis	98.866	441	5	0	4	444	805	365	0	787
ZymoMock_9623	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_9793	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_9857	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_10043	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_10120	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_10169	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_10352	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_10391	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_10485	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_10506	Staphylococcus_aureus	98.834	429	5	0	1	429	794	366	0	765
ZymoMock_10502	Escherichia_coli	99.767	429	1	0	1	429	786	358	0	787
ZymoMock_10711	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_10728	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_10919	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_10942	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_10958	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_10993	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_11089	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_11223	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_11273	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_11263	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_11422	Bacillus_subtilis	99.07	430	4	0	1	430	794	365	0	773
ZymoMock_11676	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_11821	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_11859	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_11867	Staphylococcus_aureus	99.068	429	4	0	1	429	794	366	0	771
ZymoMock_12004	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_12374	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_12436	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_12575	Enterococcus_faecalis	99.777	449	1	0	1	449	802	354	0	824
ZymoMock_13087	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_13473	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_13662	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_13697	Bacillus_subtilis	99.07	430	4	0	1	430	794	365	0	773
ZymoMock_14012	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_14033	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_14069	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_14467	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_14644	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_14694	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_14958	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_14992	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_15391	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_15763	Staphylococcus_aureus	98.595	427	6	0	1	427	794	368	0	756
ZymoMock_16131	Enterococcus_faecalis	98.718	468	6	0	2	469	821	354	0	832
ZymoMock_16375	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_17022	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_17314	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_17569	Bacillus_subtilis	99.302	430	3	0	1	430	794	365	0	778
ZymoMock_17678	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_17765	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_17997	Bacillus_subtilis	96.047	430	17	0	1	430	794	365	0	701
ZymoMock_18130	Enterococcus_faecalis	100	427	0	0	1	427	802	376	0	789
ZymoMock_18187	Staphylococcus_aureus	99.777	448	1	0	1	448	794	347	0	822
ZymoMock_18195	Staphylococcus_aureus	99.332	449	2	1	1	448	814	366	0	811
ZymoMock_18224	Bacillus_subtilis	99.535	430	1	1	1	429	794	365	0	782
ZymoMock_18278	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_18268	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_18319	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_18451	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_18459	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_18594	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_18797	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_19406	Lactobacillus_fermentum	99.534	429	2	0	1	429	812	384	0	782
ZymoMock_19565	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_19933	Bacillus_subtilis	99.07	430	4	0	1	430	794	365	0	773
ZymoMock_20710	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_20885	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_20889	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_21168	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_21236	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_21345	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_21378	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_21387	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_21442	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_21645	Salmonella_enterica	99.534	429	2	0	1	429	781	353	0	782
ZymoMock_21746	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_21893	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_21914	Bacillus_subtilis	99.302	430	3	0	1	430	794	365	0	778
ZymoMock_22098	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_22388	Escherichia_coli	98.834	429	5	0	1	429	786	358	0	765
ZymoMock_22426	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_22455	Staphylococcus_aureus	98.834	429	5	0	1	429	794	366	0	765
ZymoMock_22516	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_22548	Listeria_monocytogenes	95.571	429	19	0	1	429	794	366	0	688
ZymoMock_22908	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_23240	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_23300	Staphylococcus_aureus	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_23479	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_23477	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_23669	Listeria_monocytogenes	99.068	429	4	0	1	429	794	366	0	771
ZymoMock_23773	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_24106	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_24309	Listeria_monocytogenes	98.834	429	5	0	1	429	794	366	0	765
ZymoMock_24424	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_24453	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_24747	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_24879	Bacillus_subtilis	99.556	450	2	0	1	450	814	365	0	821
ZymoMock_24937	Staphylococcus_aureus	99.555	449	1	1	1	448	814	366	0	817
ZymoMock_24985	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_24996	Staphylococcus_aureus	99.332	449	2	1	1	448	814	366	0	811
ZymoMock_25131	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_25198	Staphylococcus_aureus	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_25700	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_25816	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_25943	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_26030	Staphylococcus_aureus	98.834	429	5	0	1	429	794	366	0	765
ZymoMock_25657	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_26135	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_26231	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_26293	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_26441	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_26550	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_26606	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_26706	Lactobacillus_fermentum	99.068	429	4	0	1	429	812	384	0	771
ZymoMock_26910	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
